pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
Kepler-1040 b,Kepler-1040,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,201.1214,0.001945,-0.001945,0.0,0.6291,,,0.0,1.84,0.81,-0.2,0.0,,,,,,,,,,,,,,0.0,,,0.0,1.83,2.51,-0.53,0.0,297.0,,,0.0,1.0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,5804.0,192.0,-167.0,0.0,0.84,0.37,-0.09,0.0,0.82,0.12,-0.06,0.0,-0.5,0.32,-0.26,0.0,[Fe/H],4.5,0.07,-0.28,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m27.30s,283.1137663,+48d07m52.60s,48.1312774,482.119,3.267,-3.223,13.614,0.16,-0.16,11.772,0.018,-0.018,13.3216,0.00036,-0.00036,2015-08-25,2015-09-24,2015-08-25
Kepler-1040 b,Kepler-1040,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,201.1214,0.001945,-0.001945,0.0,0.6291,,,0.0,1.84,0.81,-0.2,0.0,,,,,,,,,,,,,,0.0,,,0.0,1.83,2.51,-0.53,0.0,297.0,,,0.0,1.0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,5804.0,192.0,-167.0,0.0,0.84,0.37,-0.09,0.0,0.82,0.12,-0.06,0.0,-0.5,0.32,-0.26,0.0,[Fe/H],4.5,0.07,-0.28,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m27.30s,283.1137663,+48d07m52.60s,48.1312774,482.119,3.267,-3.223,13.614,0.16,-0.16,11.772,0.018,-0.018,13.3216,0.00036,-0.00036,2014-11-18,2014-12-04,2014-11-18
Kepler-1040 b,Kepler-1040,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,201.1214,0.001945,-0.001945,0.0,0.6291,,,0.0,1.84,0.81,-0.2,0.0,,,,,,,,,,,,,,0.0,,,0.0,1.83,2.51,-0.53,0.0,297.0,,,0.0,1.0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,5804.0,192.0,-167.0,0.0,0.84,0.37,-0.09,0.0,0.82,0.12,-0.06,0.0,-0.5,0.32,-0.26,0.0,[Fe/H],4.5,0.07,-0.28,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m27.30s,283.1137663,+48d07m52.60s,48.1312774,482.119,3.267,-3.223,13.614,0.16,-0.16,11.772,0.018,-0.018,13.3216,0.00036,-0.00036,2014-11-21,2014-12-18,2014-11-21
Kepler-1126 b,Kepler-1126,0,1,2,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,108.593113,0.00113,-0.00113,0.0,0.4126,,,0.0,1.68,0.21,-0.21,0.0,,,,,,,,,,,,,,0.0,,,0.0,4.64,1.71,-1.34,0.0,374.0,,,0.0,1.0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5678.0,113.0,-102.0,0.0,0.92,0.12,-0.12,0.0,0.79,0.07,-0.03,0.0,-0.4,0.15,-0.15,0.0,[Fe/H],4.41,0.13,-0.09,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m46.07s,285.691955,+45d41m21.84s,45.6893993,635.736,6.781,-6.781,14.221,0.16,-0.16,12.534,0.03,-0.03,14.0207,0.000223,-0.000223,2017-05-08,2017-08-31 00:00,2017-05-08
Kepler-1126 b,Kepler-1126,1,1,2,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,108.593329,0.001003,-0.001003,0.0,,,,,1.73,0.21,-0.14,0.0,0.154,0.019,-0.012,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5798.0,61.16,-55.36,0.0,0.93,0.11,-0.07,0.0,0.92,0.05,-0.06,0.0,-0.26,0.141,-0.152,0.0,[Fe/H],4.46,0.07,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m46.07s,285.691955,+45d41m21.84s,45.6893993,635.736,6.781,-6.781,14.221,0.16,-0.16,12.534,0.03,-0.03,14.0207,0.000223,-0.000223,2016-05-06,2016-05,2016-05-10
Kepler-1126 c,Kepler-1126,0,1,2,Transit,2023,Kepler,Published Confirmed,0,<a refstr=VALIZADEGAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230502470V/abstract target=ref>Valizadegan et al. 2023</a>,199.6679993,,,0.0,,,,,1.682,,,0.0,0.15,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5678.0,113.0,-102.0,0.0,0.92,0.12,-0.12,0.0,0.79,0.07,-0.03,0.0,-0.4,0.15,-0.15,0.0,[Fe/H],4.41,0.13,-0.09,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m46.07s,285.691955,+45d41m21.84s,45.6893993,635.736,6.781,-6.781,14.221,0.16,-0.16,12.534,0.03,-0.03,14.0207,0.000223,-0.000223,2023-05-16,2023-05,2023-05-16
Kepler-1126 c,Kepler-1126,1,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,199.66876,0.003961,-0.003961,0.0,0.6193,,,0.0,1.45,0.18,-0.18,0.0,,,,,,,,,,,,,,0.0,,,0.0,2.06,0.76,-0.59,0.0,305.0,,,0.0,0.0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5678.0,113.0,-102.0,0.0,0.92,0.12,-0.12,0.0,0.79,0.07,-0.03,0.0,-0.4,0.15,-0.15,0.0,[Fe/H],4.41,0.13,-0.09,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m46.07s,285.691955,+45d41m21.84s,45.6893993,635.736,6.781,-6.781,14.221,0.16,-0.16,12.534,0.03,-0.03,14.0207,0.000223,-0.000223,2017-05-08,2017-08-31 00:00,2017-05-08
Kepler-1177 b,Kepler-1177,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,106.247547,0.001822,-0.001822,0.0,0.4383,,,0.0,1.99,0.79,-0.22,0.0,,,,,,,,,,,,,,0.0,,,0.0,5.9,6.93,-1.77,0.0,397.0,,,0.0,0.0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,5968.0,161.0,-184.0,0.0,1.0,0.4,-0.11,0.0,0.99,0.14,-0.12,0.0,-0.12,0.24,-0.3,0.0,[Fe/H],4.44,0.07,-0.28,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m41.16s,286.6714813,+49d24m22.67s,49.4062964,1299.97,34.42,-32.72,14.773,0.137,-0.137,12.967,0.034,-0.034,14.5078,0.000266,-0.000266,2014-11-21,2014-12-18,2014-11-21
Kepler-1177 b,Kepler-1177,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,106.247547,0.001822,-0.001822,0.0,0.4383,,,0.0,1.99,0.79,-0.22,0.0,,,,,,,,,,,,,,0.0,,,0.0,5.9,6.93,-1.77,0.0,397.0,,,0.0,0.0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,5968.0,161.0,-184.0,0.0,1.0,0.4,-0.11,0.0,0.99,0.14,-0.12,0.0,-0.12,0.24,-0.3,0.0,[Fe/H],4.44,0.07,-0.28,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m41.16s,286.6714813,+49d24m22.67s,49.4062964,1299.97,34.42,-32.72,14.773,0.137,-0.137,12.967,0.034,-0.034,14.5078,0.000266,-0.000266,2015-08-25,2015-09-24,2015-08-25
Kepler-1177 b,Kepler-1177,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,106.247547,0.001822,-0.001822,0.0,,,,,1.9,0.16,-0.12,0.0,0.17,0.014,-0.011,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5712.0,62.98,-66.68,0.0,0.97,0.07,-0.05,0.0,0.98,0.03,-0.04,0.0,0.02,0.096,-0.102,0.0,[Fe/H],4.46,0.05,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m41.16s,286.6714813,+49d24m22.67s,49.4062964,1299.97,34.42,-32.72,14.773,0.137,-0.137,12.967,0.034,-0.034,14.5078,0.000266,-0.000266,2016-05-06,2016-05,2016-05-10
Kepler-1177 b,Kepler-1177,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,106.247547,0.001822,-0.001822,0.0,0.4383,,,0.0,1.99,0.79,-0.22,0.0,,,,,,,,,,,,,,0.0,,,0.0,5.9,6.93,-1.77,0.0,397.0,,,0.0,0.0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,5968.0,161.0,-184.0,0.0,1.0,0.4,-0.11,0.0,0.99,0.14,-0.12,0.0,-0.12,0.24,-0.3,0.0,[Fe/H],4.44,0.07,-0.28,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m41.16s,286.6714813,+49d24m22.67s,49.4062964,1299.97,34.42,-32.72,14.773,0.137,-0.137,12.967,0.034,-0.034,14.5078,0.000266,-0.000266,2014-11-18,2014-12-04,2014-11-18
Kepler-1185 b,Kepler-1185,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,104.3518976,0.0006705,-0.0006705,0.0,0.4425,,,0.0,1.44,0.16,-0.08,0.0,,,,,,,,,,,,,,0.0,,,0.0,4.46,1.5,-0.81,0.0,371.0,,,0.0,1.0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,5754.0,112.0,-130.0,0.0,0.94,0.11,-0.05,0.0,1.06,0.05,-0.09,0.0,0.21,0.07,-0.19,0.0,[Fe/H],4.51,0.02,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h08m57.88s,287.2411783,+39d19m57.71s,39.3326977,459.273,4.918,-4.818,12.63,0.046,-0.046,10.981,0.017,-0.017,12.5524,0.000377,-0.000377,2015-08-25,2015-09-24,2015-08-25
Kepler-1185 b,Kepler-1185,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,104.3518976,0.0006705,-0.0006705,0.0,,,,,1.33,0.08,-0.05,0.0,0.119,0.007,-0.004,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5622.0,67.7,-58.78,0.0,0.87,0.02,-0.02,0.0,0.96,0.02,-0.02,0.0,-0.04,0.092,-0.086,0.0,[Fe/H],4.54,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h08m57.88s,287.2411783,+39d19m57.71s,39.3326977,459.273,4.918,-4.818,12.63,0.046,-0.046,10.981,0.017,-0.017,12.5524,0.000377,-0.000377,2016-05-06,2016-05,2016-05-10
Kepler-1185 b,Kepler-1185,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,104.3518976,0.0006705,-0.0006705,0.0,0.4425,,,0.0,1.44,0.16,-0.08,0.0,,,,,,,,,,,,,,0.0,,,0.0,4.46,1.5,-0.81,0.0,371.0,,,0.0,1.0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,5754.0,112.0,-130.0,0.0,0.94,0.11,-0.05,0.0,1.06,0.05,-0.09,0.0,0.21,0.07,-0.19,0.0,[Fe/H],4.51,0.02,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h08m57.88s,287.2411783,+39d19m57.71s,39.3326977,459.273,4.918,-4.818,12.63,0.046,-0.046,10.981,0.017,-0.017,12.5524,0.000377,-0.000377,2014-11-21,2014-12-18,2014-11-21
Kepler-1185 b,Kepler-1185,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,104.3519624,0.0006973,-0.0006973,0.0,0.4297,,,0.0,1.39,0.2,-0.06,0.0,,,,,,,,,,,,,,0.0,,,0.0,3.74,1.54,-0.59,0.0,355.0,,,0.0,1.0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5650.0,112.0,-112.0,0.0,0.87,0.12,-0.04,0.0,0.97,0.05,-0.08,0.0,0.02,0.15,-0.15,0.0,[Fe/H],4.55,0.02,-0.12,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h08m57.88s,287.2411783,+39d19m57.71s,39.3326977,459.273,4.918,-4.818,12.63,0.046,-0.046,10.981,0.017,-0.017,12.5524,0.000377,-0.000377,2017-05-08,2017-08-31 00:00,2017-05-08
Kepler-132 e,Kepler-132,0,2,4,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,110.2867031,0.0007428,-0.0007428,0.0,0.4393,,,0.0,1.41,0.2,-0.23,0.0,,,,,,,,,,,,,,0.0,,,0.0,6.96,2.79,-2.4,0.0,414.0,,,0.0,0.0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5931.0,107.0,-118.0,0.0,1.1,0.16,-0.17,0.0,0.93,0.07,-0.07,0.0,-0.24,0.15,-0.15,0.0,[Fe/H],4.32,0.14,-0.11,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m56.59s,283.23581,+41d20m34.93s,41.343037,349.549,,,11.922,0.026,-0.026,10.424,0.019,-0.019,,,,2017-05-08,2017-08-31 00:00,2017-05-08
Kepler-132 e,Kepler-132,0,2,4,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,110.2869374,0.000878,-0.000878,0.0,0.4378,,,0.0,1.14,0.2,-0.13,0.0,,,,,,,,,,,,,,0.0,,,0.0,6.27,3.12,-1.7,0.0,404.0,,,0.0,0.0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,5921.0,114.0,-117.0,0.0,1.04,0.19,-0.12,0.0,0.92,0.08,-0.06,0.0,-0.26,0.16,-0.14,0.0,[Fe/H],4.36,0.1,-0.14,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m56.59s,283.23581,+41d20m34.93s,41.343037,349.549,,,11.922,0.026,-0.026,10.424,0.019,-0.019,,,,2015-08-25,2015-09-24,2015-08-25
Kepler-132 e,Kepler-132,0,2,4,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,110.2869374,0.000878,-0.000878,0.0,0.4378,,,0.0,1.14,0.2,-0.13,0.0,,,,,,,,,,,,,,0.0,,,0.0,6.27,3.12,-1.7,0.0,404.0,,,0.0,0.0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,5921.0,114.0,-117.0,0.0,1.04,0.19,-0.12,0.0,0.92,0.08,-0.06,0.0,-0.26,0.16,-0.14,0.0,[Fe/H],4.36,0.1,-0.14,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h52m56.59s,283.23581,+41d20m34.93s,41.343037,349.549,,,11.922,0.026,-0.026,10.424,0.019,-0.019,,,,2014-11-21,2014-12-18,2014-11-21
